Player,No.,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Player-additional
Max Christie,12,SG,5-Jun,190,February 10 2003,us US,2,Michigan State,chrisma02
Anthony Davis,3,C,10-Jun,253,March 11 1993,us US,12,Kentucky,davisan02
Luka Dončić,77,PG,8-Jun,230,February 28 1999,si SI,6,,doncilu01
Dorian Finney-Smith,17,PF,7-Jun,220,May 4 1993,us US,8,Florida,finnedo01
Jordan Goodwin,30,PG,3-Jun,215,October 23 1998,us US,3,Saint Louis,goodwjo01
Rui Hachimura,28,PF,8-Jun,230,February 8 1998,jp JP,5,Gonzaga,hachiru01
Jaxson Hayes,11,C,Jul-00,220,May 23 2000,us US,5,Texas,hayesja02
Jalen Hood-Schifino,0,SG,5-Jun,210,June 19 2003,us US,1,Indiana,hoodsja01
Bronny James,9,SG,2-Jun,210,October 6 2004,us US,R,USC,jamesbr02
LeBron James,23,SF,9-Jun,250,December 30 1984,us US,21,,jamesle01
Trey Jemison,55,C,10-Jun,270,November 28 1999,us US,1,Clemson UAB,jemistr01
Maxi Kleber,14,PF,10-Jun,240,January 29 1992,de DE,7,,klebima01
Dalton Knecht,4,SF,6-Jun,215,April 19 2001,us US,R,Northeastern Junior College University of Northern Colorado Tennessee,knechda01
Christian Koloko,10,C,11-Jun,225,June 20 2000,cm CM,1,Arizona,kolokch01
Alex Len,27,C,Jul-00,250,June 16 1993,ua UA,11,Maryland,lenal01
Maxwell Lewis,20,SF,7-Jun,215,July 27 2002,us US,1,Pepperdine,lewisma05
Shake Milton,20,SG,5-Jun,205,September 26 1996,us US,6,SMU,miltosh01
Markieff Morris,88,PF,9-Jun,245,September 2 1989,us US,13,Kansas,morrima02
Quincy Olivari,41,PG,2-Jun,201,May 27 2001,us US,R,Rice University Xavier,olivaqu01
Austin Reaves,15,SG,5-Jun,197,May 29 1998,us US,3,Wichita State Oklahoma,reaveau01
Cam Reddish,5,SF,7-Jun,230,September 1 1999,us US,5,Duke,reddica01
D'Angelo Russell,1,PG,3-Jun,193,February 23 1996,us US,9,Ohio State,russeda01
Armel Traoré,94,SF,9-Jun,246,January 23 2003,fr FR,R,,armeltr01
Jarred Vanderbilt,2,PF,8-Jun,214,April 3 1999,us US,6,Kentucky,vandeja01
Gabe Vincent,7,PG,2-Jun,200,June 14 1996,us US,5,UC Santa Barbara,vincega01
Jaylen Brown,7,SF,6-Jun,223,October 24 1996,us US,8,California,brownja02
Torrey Craig,12,SF,5-Jun,221,December 19 1990,us US,7,USC Upstate,craigto01
